Suburb,Average_rent
Albert Park-Middle Park-West St Kilda,$950
Armadale,$900
Carlton North,$750
Carlton-Parkville,$775
CBD-St Kilda Rd,-
Collingwood-Abbotsford,$750
Docklands,-
East Melbourne,-
East St Kilda,$750
Elwood,$875
Fitzroy,$820
Fitzroy North-Clifton Hill,$770
Flemington-Kensington,$600
North Melbourne-West Melbourne,$690
Port Melbourne,$800
Prahran-Windsor,$810
Richmond-Burnley,$775
South Melbourne,$790
South Yarra,$888
Southbank,-
St Kilda,$750
Toorak,"$1,150"
Group Total,$790
Balwyn,$550
Blackburn,$450
Box Hill,$470
Bulleen-Templestowe-Doncaster,$480
Burwood-Ashburton,$500
Camberwell-Glen Iris,$646
Canterbury-Surrey Hills-Mont Albert,$650
Chadstone-Oakleigh,$450
Clayton,$430
Doncaster East-Donvale,$453
East Hawthorn,$700
Glen Waverley-Mulgrave,$450
Hawthorn,$715
Kew,$660
Mount Waverley,$470
Nunawading-Mitcham,$430
Vermont-Forest Hill-Burwood East,$440
Group Total,$470
Aspendale-Chelsea-Carrum,$460
Bentleigh,$550
Brighton,$920
Brighton East,$670
Carnegie,$550
Caulfield,$660
Cheltenham,$525
Elsternwick,$760
Hampton-Beaumaris,$728
Malvern,$800
Malvern East,$600
Mentone-Parkdale-Mordialloc,$540
Murrumbeena-Hughesdale,$530
Group Total,$560
Altona,$385
Footscray,$500
Keilor East-Avondale Heights,$430
Melton,$320
Newport-Spotswood,$515
St Albans-Deer Park,$350
Sunshine,$350
Sydenham,$390
Werribee-Hoppers Crossing,$350
West Footscray,$420
Williamstown,$650
Yarraville-Seddon,$550
Group Total,$365
Broadmeadows-Roxburgh Park,$360
Brunswick,$680
Coburg-Pascoe Vale South,$540
Craigieburn,$370
East Brunswick,$650
Essendon,$470
Gladstone Park-Tullamarine,$380
Keilor,$450
Moonee Ponds-Ascot Vale,$580
Oak Park-Glenroy-Fawkner,$400
Pascoe Vale-Coburg North,$450
Sunbury,$360
West Brunswick,$590
Group Total,$395
Bundoora-Greensborough-Hurstbridge,$400
Eltham-Research-Montmorency,$460
Fairfield-Alphington,$650
Heidelberg-Heidelberg West,$430
Ivanhoe-Ivanhoe East,$575
Mill Park-Epping,$370
Northcote,$680
Preston,$498
Reservoir,$400
Thomastown-Lalor,$365
Thornbury,$600
Whittlesea,$365
Group Total,$400
Bayswater,$400
Boronia,$400
Croydon-Lilydale,$410
Ferntree Gully,$400
Ringwood,$420
Rowville,$430
Wantirna-Scoresby,$420
Yarra Ranges,$395
Group Total,$410
Berwick,$380
Cranbourne,$365
Dandenong,$380
Dandenong North-Endeavour Hills,$360
Narre Warren-Hampton Park,$360
Noble Park,$370
Pakenham,$350
Springvale,$390
Group Total,$365
Dromana-Portsea,$370
Frankston,$385
Hastings-Flinders,$390
Mt Eliza-Mornington-Mt Martha,$460
Seaford-Carrum Downs,$367
Group Total,$380
Belmont-Grovedale,$375
Corio,$280
Geelong-Newcombe,$340
Herne Hill-Geelong West,$370
Lara,$380
Newtown,$410
North Geelong,$345
Group Total,$350
Ballarat,$300
Mount Clear-Buninyong,$325
Sebastopol-Delacombe,$280
Wendouree-Alfredton,$310
Group Total,$300
Bendigo,$310
Flora Hill-Bendigo East,$310
Golden Square-Kangaroo Flat,$300
North Bendigo,$300
Group Total,$300
Bairnsdale,$300
Benalla,$280
Castlemaine,$348
Echuca,$335
Hamilton,$253
Horsham,$278
Mildura,$310
Moe-Newborough,$250
Morwell,$230
Ocean Grove-Barwon Heads,$400
Portland,$260
Sale-Maffra,$270
Seymour,$280
Shepparton,$290
Swan Hill,$270
Torquay,$480
Traralgon,$290
Wanagaratta,$295
Warragul,$325
Warrnambool,$330
Wodonga,$320
Group Total,$300
